tanggal,waktu,sumber,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
07/03/2020,00:11:17,plant_vase1,0.68,0.67,0.73,0.51,0.02,False
07/03/2020,00:11:17,plant_vase1_2,0.22,0.32,0.28,0.11,0.02,False
07/03/2020,00:12:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:12:17,plant_vase1_2,0.22,0.31,0.3,0.11,0.02,False
07/03/2020,00:13:17,plant_vase1,0.68,0.67,0.73,0.51,0.02,False
07/03/2020,00:13:17,plant_vase1_2,0.22,0.3,0.3,0.11,0.02,False
07/03/2020,00:14:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:14:17,plant_vase1_2,0.22,0.32,0.3,0.11,0.02,False
07/03/2020,00:15:17,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:15:17,plant_vase1_2,0.22,0.31,0.3,0.11,0.02,False
07/03/2020,00:16:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:16:17,plant_vase1_2,0.22,0.31,0.29,0.11,0.02,False
07/03/2020,00:17:17,plant_vase1,0.67,0.67,0.73,0.52,0.03,False
07/03/2020,00:17:17,plant_vase1_2,0.22,0.3,0.3,0.11,0.03,False
07/03/2020,00:18:17,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:18:17,plant_vase1_2,0.22,0.3,0.31,0.1,0.02,False
07/03/2020,00:19:17,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:19:17,plant_vase1_2,0.22,0.3,0.29,0.11,0.02,False
07/03/2020,00:20:18,plant_vase1,0.68,0.67,0.73,0.52,0.02,False
07/03/2020,00:20:18,plant_vase1_2,0.22,0.3,0.29,0.1,0.02,False
07/03/2020,00:21:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:21:18,plant_vase1_2,0.21,0.3,0.31,0.11,0.02,False
07/03/2020,00:22:18,plant_vase1,0.68,0.67,0.73,0.52,0.02,False
07/03/2020,00:22:18,plant_vase1_2,0.21,0.3,0.3,0.1,0.02,False
07/03/2020,00:23:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:23:18,plant_vase1_2,0.21,0.3,0.3,0.11,0.02,False
07/03/2020,00:24:18,plant_vase1,0.68,0.67,0.73,0.52,0.02,False
07/03/2020,00:24:18,plant_vase1_2,0.21,0.3,0.31,0.1,0.02,False
07/03/2020,00:25:18,plant_vase1,0.68,0.67,0.73,0.52,0.02,False
07/03/2020,00:25:18,plant_vase1_2,0.21,0.3,0.3,0.11,0.02,False
07/03/2020,00:26:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:26:18,plant_vase1_2,0.21,0.3,0.31,0.11,0.02,False
07/03/2020,00:27:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:27:18,plant_vase1_2,0.21,0.3,0.3,0.11,0.02,False
07/03/2020,00:28:18,plant_vase1,0.67,0.67,0.73,0.52,0.03,False
07/03/2020,00:28:18,plant_vase1_2,0.24,0.32,0.31,0.12,0.03,False
07/03/2020,00:29:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:29:18,plant_vase1_2,0.21,0.3,0.3,0.11,0.02,False
07/03/2020,00:30:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:30:18,plant_vase1_2,0.21,0.3,0.3,0.11,0.02,False
07/03/2020,00:31:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:31:18,plant_vase1_2,0.21,0.32,0.3,0.11,0.02,False
07/03/2020,00:32:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:32:18,plant_vase1_2,0.21,0.32,0.3,0.11,0.02,False
07/03/2020,00:33:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:33:18,plant_vase1_2,0.21,0.32,0.3,0.1,0.02,False
07/03/2020,00:34:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:34:18,plant_vase1_2,0.21,0.33,0.3,0.1,0.02,False
07/03/2020,00:35:18,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:35:18,plant_vase1_2,0.21,0.33,0.3,0.11,0.02,False
07/03/2020,00:36:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:36:18,plant_vase1_2,0.21,0.33,0.3,0.11,0.02,False
07/03/2020,00:37:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:37:18,plant_vase1_2,0.21,0.33,0.3,0.11,0.02,False
07/03/2020,00:38:18,plant_vase1,0.66,0.67,0.73,0.52,0.03,False
